# WICOM SAS Geofeed
# This feed is encoded in RFC 8805 format.
# Publication date: 2026-03-18
#
# This data feed provides approximate geo locations for a subset of
# WICOM SAS IP space, and the data included in this feed may be used only
# for improving the accuracy of Geo:IP lookups
# Website: https://wicomsas.com
#
# Link: https://wicomsas.com/geofeed.txt
# ASN 269986 (rfc3339)
#
# ip_prefix,alpha2code,region,city,postal_code
179.1.203.176/28,CO,CO-ARA,Arauca,810001
179.1.221.64/26,CO,CO-ARA,Arauca,810001
190.90.22.208/28,CO,CO-ARA,Arauca,810001
190.90.17.64/29,CO,CO-ARA,Arauca,810001
190.90.38.0/24,CO,CO-ARA,Arauca,810001
201.49.128.0/24,CO,CO-ARA,Arauca,810001
201.49.129.0/24,CO,CO-ARA,Arauca,810001
201.49.130.0/24,CO,CO-ARA,Arauca,810001
201.49.131.0/24,CO,CO-ARA,Arauca,810001
40.27.88.0/24,CO,CO-ARA,Arauca,810001
40.27.89.0/24,CO,CO-ARA,Arauca,810001
40.27.90.0/24,CO,CO-ARA,Arauca,810001
40.27.91.0/24,CO,CO-ARA,Arauca,810001
40.27.92.0/24,CO,CO-ARA,Arauca,810001
40.27.93.0/24,CO,CO-RVE,Saravena,815010
40.27.94.0/24,CO,CO-RVE,Saravena,815010
40.27.95.0/24,CO,CO-RVE,Saravena,815010
2800:310:1001::/48,CO,CO-ARA,Arauca,810001
2800:310:1006::/48,CO,CO-ARA,Arauca,810001
2803:5ee0::/32,CO,CO-ARA,Arauca,810001
2803:5ee0::/35,CO,CO-ARA,Arauca,810001
2803:5ee0:2000::/35,CO,CO-ARA,Arauca,810001
2803:5ee0:4000::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:4100::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:4200::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:2000::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:2100::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:2200::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:2300::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:2400::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:2500::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:2600::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:2700::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:2800::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:2900::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:2a00::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:2b00::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:2c00::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:2d00::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:2e00::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:2f00::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:3000::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:3100::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:3200::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:3300::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:3400::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:3500::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:3600::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:3700::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:3800::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:3900::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:3a00::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:3b00::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:3c00::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:3d00::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:3e00::/40,CO,CO-ARA,Arauca,810001
2803:5ee0:3f00::/40,CO,CO-ARA,Arauca,810001
2803:5ee0::/48,CO,CO-ARA,Arauca,810001
2803:5ee0:a::/48,CO,CO-ARA,Arauca,810001
2803:5ee0:b::/48,CO,CO-ARA,Arauca,810001
2803:5ee0:c::/48,CO,CO-ARA,Arauca,810001
2803:5ee0:d::/48,CO,CO-ARA,Arauca,810001
2803:5ee0:127::/48,CO,CO-ARA,Arauca,810001
2803:5ee0:128::/48,CO,CO-ARA,Arauca,810001
2803:5ee0:129::/48,CO,CO-ARA,Arauca,810001
2803:5ee0:130::/48,CO,CO-ARA,Arauca,810001
